epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2629.49,0.32785,0.30183,0.85275,0.99186,0.99338,0.9949,0.95851,0.28202,0.24342,0.79537,0.000148625,0.000148625,0.000148625
91,2658.72,0.29458,0.29002,0.81924,0.99049,0.99338,0.99492,0.95917,0.28201,0.24515,0.79424,0.00013625,0.00013625,0.00013625
92,2686.76,0.27514,0.27667,0.81607,0.99146,0.99503,0.99485,0.95248,0.28756,0.24863,0.79537,0.000123875,0.000123875,0.000123875
93,2716.47,0.28291,0.27961,0.80852,0.993,0.99451,0.99485,0.95496,0.28395,0.2404,0.79495,0.0001115,0.0001115,0.0001115
94,2745.28,0.27423,0.27297,0.81184,0.99192,0.99421,0.99482,0.95634,0.28305,0.2402,0.79464,9.9125e-05,9.9125e-05,9.9125e-05
95,2774.15,0.27249,0.2677,0.81556,0.98799,0.99334,0.99472,0.95223,0.28408,0.24235,0.79249,8.675e-05,8.675e-05,8.675e-05
96,2802.93,0.25584,0.26033,0.80901,0.98918,0.99415,0.99485,0.95476,0.28065,0.24366,0.79079,7.4375e-05,7.4375e-05,7.4375e-05
97,2832.72,0.26218,0.26288,0.80288,0.99019,0.99335,0.99479,0.94861,0.27936,0.2435,0.79093,6.2e-05,6.2e-05,6.2e-05
98,2862.3,0.25113,0.25384,0.80773,0.9904,0.99322,0.9948,0.94908,0.27985,0.24383,0.79154,4.9625e-05,4.9625e-05,4.9625e-05
99,2890.89,0.25481,0.25451,0.80043,0.9909,0.99306,0.9948,0.95231,0.27899,0.24295,0.79189,3.725e-05,3.725e-05,3.725e-05
100,2916.88,0.25486,0.25848,0.80043,0.99139,0.99284,0.99482,0.95493,0.27578,0.24063,0.79099,2.4875e-05,2.4875e-05,2.4875e-05
